timestamp,source_ip,destination_ip,event_type,failed_logins,bytes_transferred,is_threat
2024-01-01 10:00:00,192.168.1.1,10.0.0.1,login,1,500,0
2024-01-01 10:05:00,192.168.1.2,10.0.0.1,login,15,500,1
2024-01-01 10:10:00,10.0.0.5,8.8.8.8,data_transfer,0,999999,1
2024-01-01 10:15:00,192.168.1.3,10.0.0.2,login,2,300,0
2024-01-01 10:20:00,172.16.0.1,10.0.0.1,login,20,100,1
2024-01-01 10:25:00,192.168.1.4,10.0.0.3,login,0,450,0
2024-01-01 10:30:00,10.0.0.8,1.2.3.4,data_transfer,0,888888,1
2024-01-01 10:35:00,192.168.1.5,10.0.0.4,login,1,600,0
2024-01-01 10:40:00,192.168.1.6,10.0.0.1,login,0,700,0
2024-01-01 10:45:00,172.16.0.4,10.0.0.1,login,18,250,1
2024-01-01 10:50:00,10.0.0.12,4.4.4.4,data_transfer,0,950000,1
2024-01-01 10:55:00,192.168.1.7,10.0.0.2,login,2,150,0
2024-01-01 11:00:00,192.168.1.8,10.0.0.5,login,1,400,0
2024-01-01 11:05:00,172.16.0.9,10.0.0.1,login,22,120,1
2024-01-01 11:10:00,10.0.0.15,8.8.4.4,data_transfer,0,750000,1
2024-01-01 11:15:00,192.168.1.9,10.0.0.3,login,0,320,0
2024-01-01 11:20:00,192.168.1.10,10.0.0.1,login,3,510,0
2024-01-01 11:25:00,172.16.0.15,10.0.0.2,login,12,80,1
2024-01-01 11:30:00,10.0.0.20,9.9.9.9,data_transfer,0,1200000,1
2024-01-01 11:35:00,192.168.1.11,10.0.0.4,login,1,220,0
